ID,Name,Yes,No
71,可疑的重度神经认知障碍伴路易体,0,0
72,存在脑血管病以及与血管性病因相一致的特征(如认知缺陷的起病与血管事件相关或有证据显示复杂注意和额叶执行功能显著下降),73,76
73,神经影像学支持脑实质的损伤是由于脑血管病所致，神经认知综合征在时间上与有记录的脑血管事件相关，或同时存在脑血管病的临床和遗传学证据,74,75
74,可能的重度血管性神经认知障碍,0,0
75,可疑的重度血管性神经认知障碍,0,0
76,隐匿起病，在至少两个认知领域有逐渐进展的损害,77,80
77,阿尔采末氏病的致病基因突变或下列三项全部存在:记忆和某个其他认知领域下降的明确证据，认知下降稳步进展、无延长的平台期，以及无证据表明存在混合性病因,78,79
78,可能的由于阿尔茨海默病所致的重度神经认知障碍 (首先编码阿尔茨海默病) ,0,0
79,可疑的由于阿尔茨海默病所致的重度神经认知障碍,0,0
80,从病史、体格检查、或实验室发现获得的证据表明另一种躯体疾病(如多发性硬化症)是症状的病因,81,82
81,由于其他躯体疾病所致的重度神经认知障碍(首先编码其他躯体疾病) ,0,0
82,由某种物质的生理效应导致，持续时间超出物质中毒或物质戒断的通常病程,83,84
83,物质/药物所致的重度神经认知障碍,0,0
84,未特定的神经认知障碍,0,0
85,与已证实的表现水平相比，存在一定的认知下降，并伴有一定的认知表现损害，但尚未干扰日常活动的独立性,86,91
86,由于某种一般躯体疾病的直接效应所致,87,88
87,由于其他躯体疾病所致的轻度神经认知障碍*(基于以上用于重度神经认知障碍的病因决策点),0,0
88,由某种物质的生理效应导致，持续时间超出物质中毒或物质戒断的通常病程,89,90
89,物质/药物所致的轻度神经认知障碍,0,0
90,未特定的神经认知障碍,0,0
91,由于某种物质的直接生理效应所致,92,93
92,物质中毒，物质戒断,0,0
93,有临床意义的认知损害代表了个体在心理上或生物学上的功能失调,94,95
94,未特定的神经认知障碍,0,0
95,“正常的”认知损害(如健忘),0,0
